"mdate" "sum" "first" "last" "adate"
"1993-06-01" 1993-06-01 1122.845 59.7 0.422 1993.5
"1993-11-01" 1993-11-01 1466.21 124 0.472 1993.91666666667
"1994-06-01" 1994-06-01 2233.882 143.4 0.822 1994.5
"1994-11-01" 1994-11-01 2622.338 170 1.114 1994.91666666667
"1995-06-01" 1995-06-01 3927.029 170 1.955 1995.5
"1995-11-01" 1995-11-01 4784.547 170 2.489 1995.91666666667
"1996-06-01" 1996-06-01 5894.544 220.4 3.306 1996.5
"1996-11-01" 1996-11-01 7981.229 368.2 4.62 1996.91666666667
"1997-06-01" 1997-06-01 12844.358 1068 7.67 1997.5
"1997-11-01" 1997-11-01 16898.131 1338 9.513 1997.91666666667
"1998-06-01" 1998-06-01 22625.134 1338 13.39 1998.5
"1998-11-01" 1998-11-01 29367.614 1338 17.12 1998.91666666667
"1999-06-01" 1999-06-01 39062.579 2121 24.7 1999.5
"1999-11-01" 1999-11-01 50938.556 2379 33.09 1999.91666666667
"2000-06-01" 2000-06-01 64230.106 2379 43.82 2000.5
"2000-11-01" 2000-11-01 88080.876 4938 55.3 2000.91666666667
"2001-06-01" 2001-06-01 108275.866 7226 67.78 2001.5
"2001-11-01" 2001-11-01 134977.506 7226 94.3 2001.91666666667
"2002-06-01" 2002-06-01 222245.166 35860 134.3 2002.5
"2002-11-01" 2002-11-01 292713.56 35860 195.8 2002.91666666667
"2003-06-01" 2003-06-01 373063.56 35860 245.1 2003.5
"2003-11-01" 2003-11-01 529241.568 35860 402.5 2003.91666666667
"2004-06-01" 2004-06-01 814895.674 35860 624.258 2004.5
"2004-11-01" 2004-11-01 1130916.756 70720 850.6 2004.91666666667
"2005-06-01" 2005-06-01 1694716.64 136800 1166 2005.5
"2005-11-01" 2005-11-01 2298496.69 280600 1645.7 2005.91666666667
"2006-06-01" 2006-06-01 2790054.02 280600 2026 2006.5
"2006-11-01" 2006-11-01 3527458.35 280600 2736.9 2006.91666666667
"2007-06-01" 2007-06-01 4946586.05 280600 4005 2007.5
"2007-11-01" 2007-11-01 6966169.82 478200 5929.6 2007.91666666667
"2008-06-01" 2008-06-01 11700016.97 1026000 8996.78 2008.5
"2008-11-01" 2008-11-01 16927325.8 1105000 12593.5 2008.91666666667
"2009-06-01" 2009-06-01 22607996.3 1105000 17088.8 2009.5
"2009-11-01" 2009-11-01 27977501.8 1759000 20051 2009.91666666667
"2010-06-01" 2010-06-01 32434683.7 1759000 24670 2010.5
"2010-11-01" 2010-11-01 43673092.5 2566000 31112.2 2010.91666666667
"2011-06-01" 2011-06-01 58930025.6 8162000 40187.3 2011.5
"2011-11-01" 2011-11-01 74069633.68 10510000 50941.4 2011.91666666667
"2012-06-01" 2012-06-01 123417786.71 16324751 60824.4 2012.5
"2012-11-01" 2012-11-01 162139386.75 17590000 76411 2012.91666666667
"2013-06-01" 2013-06-01 223654338.13 33862700 96619 2013.5
"2013-11-01" 2013-11-01 250080467.17 33862700 117831.3 2013.91666666667
"2014-06-01" 2014-06-01 273763781.09 33862700 133700 2014.5
